"Anon.Student.Id","Action","event_id"
9,"Block.grabbed",12116
9,"Block.dragDestroy",12117
9,"Block.grabbed",12118
9,"Block.snapped",12119
9,"Block.grabbed",12120
9,"Block.snapped",12121
9,"Block.grabbed",12122
9,"Block.dragDestroy",12123
9,"IDE.changeCategory",12124
9,"Block.created",12125
9,"Block.grabbed",12126
9,"Block.snapped",12127
9,"IDE.changeCategory",12128
9,"Block.created",12129
9,"Block.grabbed",12130
9,"Block.snapped",12131
9,"Block.created",12132
9,"Block.grabbed",12133
9,"Block.snapped",12134
9,"Block.grabbed",12135
9,"Block.snapped",12136
9,"Block.clickRun",12137
9,"Block.clickStopRun",12138
9,"Block.clickRun",12139
9,"Block.grabbed",12140
